Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Brian McCann*,33,97,399,349,47,84,12,1,18,62,1,0,38,58,.241,.323,.436,.759,106,152,9,7,0,5,3,mccanbr01
2,1B,Yuli Gurriel,33,139,564,529,69,158,43,1,18,75,3,2,22,62,.299,.332,.486,.817,121,257,12,7,0,6,1,gourryu01
3,2B,Jose Altuve,27,153,662,590,112,204,39,4,24,81,32,6,58,84,.346,.410,.547,.957,160,323,19,9,1,4,3,altuvjo01
4,SS,Carlos Correa,22,109,481,422,82,133,25,1,24,84,2,1,53,92,.315,.391,.550,.941,155,232,12,2,0,4,5,correca01
5,3B,Alex Bregman,23,155,626,556,88,158,39,5,19,71,17,5,55,97,.284,.352,.475,.827,125,264,15,7,1,7,2,bregmal01
6,LF,Nori Aoki*,35,70,224,202,28,55,12,1,2,19,5,2,15,29,.272,.323,.371,.694,91,75,11,2,1,4,1,aokino01
7,CF,George Springer,27,140,629,548,112,155,29,0,34,85,5,7,64,111,.283,.367,.522,.889,141,286,11,11,0,4,1,springe01
8,RF,Josh Reddick*,30,134,540,477,77,150,34,4,13,82,7,3,43,72,.314,.363,.484,.847,130,231,9,0,1,12,1,reddijo01
9,DH,Carlos Beltrán#,40,129,509,467,60,108,29,0,14,51,0,0,33,102,.231,.283,.383,.666,81,179,9,3,0,6,3,beltrca01
10,UT,Marwin González#,28,134,515,455,67,138,34,0,23,90,8,3,49,99,.303,.377,.530,.907,146,241,8,6,3,2,4,gonzama01
11,C,Evan Gattis,30,84,325,300,41,79,22,0,12,55,0,1,18,50,.263,.311,.457,.767,107,137,10,4,0,3,0,gattiev01
12,CF,Jake Marisnick,26,106,259,230,50,56,10,0,16,35,9,4,20,90,.243,.319,.496,.815,119,114,5,6,2,1,1,marisja01
13,LF,Derek Fisher*,23,53,166,146,21,31,4,1,5,17,3,3,17,54,.212,.307,.356,.663,82,52,1,3,0,0,1,fishede01
14,3B,J.D. Davis,24,24,68,62,8,14,4,0,4,7,1,1,4,20,.226,.279,.484,.763,104,30,3,1,0,1,0,davisjd01
15,1B,Tyler White,26,22,67,61,7,17,6,0,3,10,0,1,4,16,.279,.328,.525,.853,129,32,0,1,0,1,0,whitety01
16,OF,Cameron Maybin,30,21,63,59,6,11,1,1,4,13,4,3,3,16,.186,.226,.441,.666,77,26,1,0,1,0,0,maybica01
17,C,Juan Centeno*,27,22,57,52,5,12,0,0,2,4,0,0,4,12,.231,.286,.346,.632,73,18,2,0,1,0,1,centeju01
18,OF,Tony Kemp*,25,17,39,37,6,8,1,0,0,4,1,0,1,5,.216,.256,.243,.500,39,9,0,1,0,0,0,kempto01
19,UT,Max Stassi,26,14,31,24,5,4,1,0,2,4,0,0,6,4,.167,.323,.458,.781,112,11,2,0,0,1,0,stassma01
20,IF,Colin Moran*,24,7,12,11,3,4,0,1,1,3,0,0,1,1,.364,.417,.818,1.235,227,9,0,0,0,0,0,moranco01
21,DH,AJ Reed*,24,2,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,reedaj01
22,RF,Teoscar Hernández,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hernate01
23,P,Brad Peacock,29,4,8,7,1,2,1,0,0,2,0,0,1,3,.286,.375,.429,.804,121,3,0,0,0,0,0,peacobr01
24,P,Joe Musgrove,24,4,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,musgrjo01
